n_sequences,n_nodes,n_features,t_alignment_s,t_probability_s,t_embedding_s,t_total_s,dense_matrix_mb
10,1000,3,0.0342,0.06,0.861,0.9552,8.0
20,2000,3,0.0913,0.2299,3.5991,3.9203,32.0
40,4000,3,0.4017,0.9146,13.629,14.9452,128.0
