n_sequences,n_nodes,n_features,t_alignment_s,t_probability_s,t_embedding_s,t_total_s,dense_matrix_mb,nnz,graph_mb
10,1000,3,0.0489,0.0019,0.1909,0.2417,8.0,16414,0.2
20,2000,3,0.1409,0.0058,0.4293,0.576,32.0,62138,0.75
40,4000,3,0.6225,0.0204,1.4858,2.1287,128.0,245350,2.94
80,8000,3,2.2754,0.0795,6.4317,8.7865,512.0,965620,11.59
