n_sequences,n_nodes,n_features,t_alignment_s,t_probability_s,t_embedding_s,t_total_s,dense_matrix_mb
10,1000,3,1.2589,0.2193,1.2179,2.6962,8.0
20,2000,3,4.6452,0.5767,4.3752,9.5971,32.0
40,4000,3,19.2578,1.8313,18.3096,39.3987,128.0
